Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-4-17 3:00,1,0.016667
1503960366,2016-4-17 4:00,0,0
1503960366,2016-4-17 5:00,0,0
1503960366,2016-4-17 6:00,0,0
1503960366,2016-4-17 7:00,0,0
1503960366,2016-4-17 8:00,0,0
1503960366,2016-4-17 9:00,0,0
1503960366,2016-4-17 10:00,0,0
1503960366,2016-4-17 11:00,9,0.15
1503960366,2016-4-17 12:00,18,0.3
1503960366,2016-4-17 13:00,23,0.383333
1503960366,2016-4-17 14:00,10,0.166667
1503960366,2016-4-17 15:00,13,0.216667
1503960366,2016-4-17 16:00,2,0.033333
1503960366,2016-4-17 17:00,71,1.183333
1503960366,2016-4-17 18:00,39,0.65
1503960366,2016-4-17 19:00,24,0.4
1503960366,2016-4-17 20:00,87,1.45
1503960366,2016-4-17 21:00,16,0.266667
1503960366,2016-4-17 22:00,5,0.083333
1503960366,2016-4-17 23:00,0,0
1503960366,2016-4-18 0:00,21,0.35
1503960366,2016-4-18 1:00,0,0
1503960366,2016-4-18 2:00,0,0
1503960366,2016-4-18 3:00,0,0
1503960366,2016-4-18 4:00,0,0
1503960366,2016-4-18 5:00,0,0
1503960366,2016-4-18 6:00,0,0
1503960366,2016-4-18 7:00,0,0
1503960366,2016-4-18 8:00,0,0
1503960366,2016-4-18 9:00,39,0.65
1503960366,2016-4-18 10:00,17,0.283333
1503960366,2016-4-18 11:00,15,0.25
1503960366,2016-4-18 12:00,40,0.666667
1503960366,2016-4-18 13:00,9,0.15
1503960366,2016-4-18 14:00,7,0.116667
1503960366,2016-4-18 15:00,14,0.233333
1503960366,2016-4-18 16:00,17,0.283333
1503960366,2016-4-18 17:00,18,0.3
1503960366,2016-4-18 18:00,114,1.9
1503960366,2016-4-18 19:00,30,0.5
1503960366,2016-4-18 20:00,2,0.033333
1503960366,2016-4-18 21:00,11,0.183333
1503960366,2016-4-18 22:00,19,0.316667
1503960366,2016-4-18 23:00,18,0.3
1503960366,2016-4-19 0:00,0,0
1503960366,2016-4-19 1:00,1,0.016667
1503960366,2016-4-19 2:00,0,0
1503960366,2016-4-19 3:00,2,0.033333
1503960366,2016-4-19 4:00,0,0
1503960366,2016-4-19 5:00,0,0
1503960366,2016-4-19 6:00,1,0.016667
1503960366,2016-4-19 7:00,19,0.316667
1503960366,2016-4-19 8:00,38,0.633333
1503960366,2016-4-19 9:00,16,0.266667
1503960366,2016-4-19 10:00,16,0.266667
1503960366,2016-4-19 11:00,13,0.216667
1503960366,2016-4-19 12:00,61,1.016667
1503960366,2016-4-19 13:00,65,1.083333
1503960366,2016-4-19 14:00,12,0.2
1503960366,2016-4-19 15:00,12,0.2
1503960366,2016-4-19 16:00,9,0.15
1503960366,2016-4-19 17:00,13,0.216667
1503960366,2016-4-19 18:00,30,0.5
1503960366,2016-4-19 19:00,31,0.516667
1503960366,2016-4-19 20:00,69,1.15
1503960366,2016-4-19 21:00,16,0.266667
1503960366,2016-4-19 22:00,4,0.066667
1503960366,2016-4-19 23:00,48,0.8
1503960366,2016-4-20 0:00,2,0.033333
1503960366,2016-4-20 1:00,2,0.033333
